date,overseas,domestic,confirmed,iso,iso_rel,death,m_confirmed,m_death,f_confirmed,f_death,0s_confirmed,0s_death,10s_confirmed,10s_death,20s_confirmed,20s_death,30s_confirmed,30s_death,40s_confirmed,40s_death,50s_confirmed,50s_death,60s_confirmed,60s_death,70s_confirmed,70s_death,80s_over_confirmed,80s_over_death,seoul_overseas,seoul_domestic,seoul_confirmed,seoul_iso,seoul_iso_rel,seoul_death,bs_overseas,bs_domestic,bs_confirmed,bs_iso,bs_iso_rel,bs_death,tk_overseas,tk_domestic,tk_confirmed,tk_iso,tk_iso_rel,tk_death,ic_overseas,ic_domestic,ic_confirmed,ic_iso,ic_iso_rel,ic_death,kj_overseas,kj_domestic,kj_confirmed,kj_iso,kj_iso_rel,kj_death,dj_overseas,dj_domestic,dj_confirmed,dj_iso,dj_iso_rel,dj_death,ulsan_overseas,ulsan_domestic,ulsan_confirmed,ulsan_iso,ulsan_iso_rel,ulsan_death,sj_overseas,sj_domestic,sj_confirmed,sj_iso,sj_iso_rel,sj_death,gg_overseas,gg_domestic,gg_confirmed,gg_iso,gg_iso_rel,gg_death,kw_overseas,kw_domestic,kw_confirmed,kw_iso,kw_iso_rel,kw_death,cb_overseas,cb_domestic,cb_confirmed,cb_iso,cb_iso_rel,cb_death,cn_overseas,cn_domestic,cn_confirmed,cn_iso,cn_iso_rel,cn_death,jb_overseas,jb_domestic,jb_confirmed,jb_iso,jb_iso_rel,jb_death,jn_overseas,jn_domestic,jn_confirmed,jn_iso,jn_iso_rel,jn_death,kb_overseas,kb_domestic,kb_confirmed,kb_iso,kb_iso_rel,kb_death,kn_overseas,kn_domestic,kn_confirmed,kn_iso,kn_iso_rel,kn_death,jj_overseas,jj_domestic,jj_confirmed,jj_iso,jj_iso_rel,jj_death,qs_overseas,qs_domestic,qs_confirmed,qs_iso,qs_iso_rel,qs_death
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,28,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,28,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,28,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,28,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,29,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,31,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,51,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,104,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,204,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,433,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,602,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,833,0,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,977,0,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,1261,0,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,1766,0,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,2337,0,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,3150,0,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,3736,0,30,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,4212,4159,31,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,4812,4750,34,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,5328,5255,41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,93,0,0,1,0,0,4006,0,0,24,0,0,9,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,101,0,0,1,0,0,21,0,0,0,0,0,11,0,0,0,0,0,82,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,774,0,0,6,0,0,65,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,5766,5643,88,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,92,0,0,1,0,0,4327,0,0,27,0,0,9,0,0,0,0,0,14,0,0,0,0,0,16,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,110,0,0,1,0,0,23,0,0,0,0,0,12,0,0,0,0,0,86,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,861,0,0,6,0,0,74,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,6284,6134,108,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,95,0,0,1,0,0,4694,0,0,30,0,0,9,0,0,0,0,0,13,0,0,0,0,0,18,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,120,0,0,1,0,0,25,0,0,0,0,0,15,0,0,0,0,0,90,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,984,0,0,10,0,0,77,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,6767,6605,118,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,96,0,0,1,0,0,5084,0,0,31,0,0,9,0,0,0,0,0,13,0,0,0,0,0,18,0,0,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0,130,0,0,1,0,0,26,0,0,1,0,0,20,0,0,0,0,0,92,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,1049,0,0,10,0,0,82,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,7134,6954,130,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,97,0,0,1,0,0,5381,0,0,35,0,0,9,0,0,0,0,0,13,0,0,0,0,0,18,0,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,141,0,0,1,0,0,27,0,0,1,0,0,24,0,0,0,0,0,98,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,1081,0,0,12,0,0,83,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,7382,7165,166,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,29,0,0,0,96,0,10,0,0,0,5571,0,21,35,0,0,9,0,2,0,0,0,15,0,3,0,0,0,19,0,1,0,0,0,24,0,1,0,0,0,6,0,0,0,0,0,152,0,22,1,0,0,28,0,3,1,0,0,25,0,3,0,0,0,102,0,1,0,0,0,7,0,2,0,0,0,4,0,1,0,0,0,1107,0,57,14,0,0,83,0,9,0,0,0,4,0,1,0,0,0,0,0,0,0
2020-03-10,0,0,7513,7212,247,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,31,0,0,0,96,0,10,0,0,0,5663,0,92,38,0,0,13,0,3,0,0,0,15,0,3,0,0,0,18,0,1,0,0,0,24,0,1,0,0,0,8,0,0,0,0,0,163,0,22,1,0,0,28,0,6,1,0,0,25,0,3,0,0,0,104,0,1,0,0,0,7,0,2,0,0,0,4,0,1,0,0,0,1117,0,60,14,0,0,83,0,10,0,0,0,4,0,1,0,0,0,0,0,0,0
2020-03-11,0,0,7755,7407,288,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,37,0,0,0,98,0,21,1,0,0,5794,0,102,43,0,0,25,0,3,0,0,0,15,0,3,0,0,0,18,0,2,0,0,0,25,0,2,0,0,0,10,0,0,0,0,0,175,0,25,1,0,0,29,0,6,1,0,0,27,0,3,0,0,0,112,0,1,0,0,0,7,0,2,0,0,0,4,0,1,0,0,0,1135,0,69,14,0,0,84,0,10,0,0,0,4,0,1,0,0,0,0,0,0,0
2020-03-12,0,0,7869,7470,333,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,38,0,0,0,99,0,29,0,0,0,5867,0,114,48,0,0,25,0,4,0,0,0,15,0,4,0,0,0,20,0,2,0,0,0,25,0,3,0,0,0,15,0,0,0,0,0,178,0,27,1,0,0,29,0,6,1,0,0,27,0,4,0,0,0,114,0,5,0,0,0,7,0,2,0,0,0,4,0,1,0,0,0,1143,0,83,16,0,0,85,0,10,0,0,0,4,0,1,0,0,0,0,0,0,0
2020-03-13,0,0,7979,7402,510,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,40,0,0,0,100,0,36,0,0,0,5928,0,251,48,0,0,27,0,4,0,0,0,15,0,4,0,0,0,22,0,4,0,0,0,27,0,3,0,0,0,32,0,0,0,0,0,185,0,31,2,0,0,29,0,6,1,0,0,27,0,4,0,0,0,115,0,7,0,0,0,7,0,4,0,0,0,4,0,1,0,0,0,1147,0,103,16,0,0,85,0,11,0,0,0,4,0,1,0,0,0,0,0,0,0
2020-03-14,0,0,8086,7300,714,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,44,0,0,0,103,0,40,0,0,0,5990,0,401,51,0,0,28,0,4,0,0,0,15,0,4,0,0,0,22,0,4,0,0,0,27,0,5,0,0,0,38,0,0,0,0,0,200,0,36,3,0,0,29,0,6,1,0,0,28,0,5,0,0,0,115,0,9,0,0,0,7,0,4,0,0,0,4,0,2,0,0,0,1153,0,138,17,0,0,85,0,11,0,0,0,4,0,1,0,0,0,0,0,0,0
2020-03-15,0,0,8162,7253,834,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,47,0,0,0,106,0,52,1,0,0,6031,0,468,53,0,0,30,0,4,0,0,0,16,0,4,0,0,0,22,0,4,0,0,0,28,0,6,0,0,0,39,0,0,0,0,0,211,0,40,3,0,0,29,0,7,1,0,0,31,0,6,0,0,0,115,0,10,0,0,0,7,0,4,0,0,0,4,0,2,0,0,0,1157,0,163,17,0,0,85,0,16,0,0,0,4,0,1,0,0,0,0,0,0,0
2020-03-16,0,0,8236,7024,1137,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,52,0,0,0,107,0,53,1,0,0,6066,0,734,53,0,0,30,0,4,0,0,0,16,0,4,0,0,0,22,0,4,0,0,0,28,0,7,0,0,0,40,0,0,0,0,0,231,0,48,3,0,0,29,0,7,1,0,0,31,0,6,0,0,0,115,0,12,0,0,0,7,0,4,0,0,0,4,0,2,0,0,0,1164,0,178,17,0,0,85,0,20,0,0,0,4,0,2,0,0,0,4,0,0,0
2020-03-17,0,0,8320,6838,1401,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,55,0,0,0,107,0,54,1,0,0,6098,0,947,57,0,0,31,0,5,0,0,0,16,0,6,0,0,0,22,0,4,0,0,0,28,0,8,0,0,0,40,0,0,0,0,0,262,0,55,3,0,0,29,0,8,1,0,0,31,0,5,0,0,0,115,0,15,0,0,0,7,0,4,0,0,0,4,0,2,0,0,0,1169,0,209,19,0,0,86,0,22,0,0,0,4,0,2,0,0,0,6,0,0,0
2020-03-18,0,0,8413,6789,1540,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,55,0,0,0,107,0,58,1,0,0,6144,0,1048,58,0,0,32,0,5,0,0,0,17,0,6,0,0,0,22,0,4,0,0,0,30,0,9,0,0,0,41,0,0,0,0,0,277,0,59,3,0,0,30,0,8,1,0,0,32,0,5,0,0,0,118,0,16,0,0,0,9,0,5,0,0,0,5,0,2,0,0,0,1178,0,235,21,0,0,86,0,23,0,0,0,4,0,2,0,0,0,11,0,0,0
2020-03-19,0,0,8565,6527,1947,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,58,0,0,0,107,0,58,1,0,0,6241,0,1382,65,0,0,32,0,6,0,0,0,17,0,7,0,0,0,22,0,4,0,0,0,36,0,9,0,0,0,41,0,0,0,0,0,295,0,64,3,0,0,30,0,9,1,0,0,33,0,5,0,0,0,118,0,31,0,0,0,10,0,5,0,0,0,5,0,3,0,0,0,1190,0,275,21,0,0,86,0,29,0,0,0,4,0,2,0,0,0,16,0,0,0
